data_type,original_value,replacement_value
INSURANCE_CARD_NUMBER,80756 01599 63006 15707,80756 01611 24456 72195
INSURANCE_CARD_NUMBER,80756 01599 65409 73379,80756 01688 49326 65712
INSURANCE_CARD_NUMBER,80756 01599 72770 81899,80756 01611 78893 85686
INSURANCE_CARD_NUMBER,80756 01602 07619 48823,80756 01599 14875 81434
INSURANCE_CARD_NUMBER,80756 01602 11195 57238,80756 01688 90357 75508
INSURANCE_CARD_NUMBER,80756 01602 14816 07762,80756 01602 32824 99326
INSURANCE_CARD_NUMBER,80756 01602 21351 34879,80756 01611 76500 17515
INSURANCE_CARD_NUMBER,80756 01602 25436 20894,80756 01611 78860 71155
INSURANCE_CARD_NUMBER,80756 01602 29832 16069,80756 01602 07250 93002
INSURANCE_CARD_NUMBER,80756 01602 34773 89095,80756 01688 30185 27273
INSURANCE_CARD_NUMBER,80756 01602 35138 93013,80756 01602 54591 61967
INSURANCE_CARD_NUMBER,80756 01602 39687 10805,80756 01599 00480 30982
INSURANCE_CARD_NUMBER,80756 01602 46320 45589,80756 01643 87569 73197
INSURANCE_CARD_NUMBER,80756 01602 71524 96872,80756 01643 87262 41574
INSURANCE_CARD_NUMBER,80756 01602 81125 54982,80756 01688 40731 01807
INSURANCE_CARD_NUMBER,80756 01602 83132 22080,80756 01688 52686 51170
INSURANCE_CARD_NUMBER,80756 01602 83780 59135,80756 01688 21735 82167
INSURANCE_CARD_NUMBER,80756 01602 88775 53959,80756 01599 37801 78721
INSURANCE_CARD_NUMBER,80756 01602 92631 94005,80756 01688 83340 22409
INSURANCE_CARD_NUMBER,80756 01602 97003 94755,80756 01599 97043 67016
INSURANCE_CARD_NUMBER,80756 01611 00641 09852,80756 01688 43229 09726
INSURANCE_CARD_NUMBER,80756 01611 24531 39707,80756 01688 87874 53703
INSURANCE_CARD_NUMBER,80756 01611 33138 27958,80756 01688 40401 95490
INSURANCE_CARD_NUMBER,80756 01611 44655 60121,80756 01688 12292 43754
INSURANCE_CARD_NUMBER,80756 01611 53024 07863,80756 01599 75119 39813
INSURANCE_CARD_NUMBER,80756 01611 55934 41758,80756 01688 90439 10598
INSURANCE_CARD_NUMBER,80756 01611 67475 63021,80756 01643 09104 99476
INSURANCE_CARD_NUMBER,80756 01611 69880 32988,80756 01688 97562 44613
INSURANCE_CARD_NUMBER,80756 01611 71775 22038,80756 01688 84685 71940
INSURANCE_CARD_NUMBER,80756 01611 77576 15237,80756 01599 66250 49576
INSURANCE_CARD_NUMBER,80756 01611 77958 31733,80756 01643 12760 65839
INSURANCE_CARD_NUMBER,80756 01611 95912 99731,80756 01599 69816 75010
INSURANCE_CARD_NUMBER,80756 01611 97115 87443,80756 01643 06238 80843
INSURANCE_CARD_NUMBER,80756 01643 05218 57562,80756 01611 73654 06940
INSURANCE_CARD_NUMBER,80756 01643 05413 23300,80756 01602 36116 16300
INSURANCE_CARD_NUMBER,80756 01643 11128 36918,80756 01643 25178 94198
INSURANCE_CARD_NUMBER,80756 01643 55746 74561,80756 01688 06566 21996
INSURANCE_CARD_NUMBER,80756 01643 57293 90101,80756 01643 12130 65996
INSURANCE_CARD_NUMBER,80756 01643 65441 95336,80756 01599 12840 55931
INSURANCE_CARD_NUMBER,80756 01643 95313 29051,80756 01599 07313 86953
INSURANCE_CARD_NUMBER,80756 01688 03641 92465,80756 01602 38075 92364
INSURANCE_CARD_NUMBER,80756 01688 04603 78565,80756 01611 74350 25803
INSURANCE_CARD_NUMBER,80756 01688 10418 46587,80756 01602 93721 89882
INSURANCE_CARD_NUMBER,80756 01688 15885 73951,80756 01602 92881 09054
INSURANCE_CARD_NUMBER,80756 01688 19037 09310,80756 01688 36683 42553
INSURANCE_CARD_NUMBER,80756 01688 19082 97611,80756 01643 95272 92780
INSURANCE_CARD_NUMBER,80756 01688 24490 16595,80756 01643 02031 37718
INSURANCE_CARD_NUMBER,80756 01688 32719 63411,80756 01602 01428 36817
INSURANCE_CARD_NUMBER,80756 01688 34370 28031,80756 01602 38502 10379
INSURANCE_CARD_NUMBER,80756 01688 34764 56107,80756 01643 70506 76767
INSURANCE_CARD_NUMBER,80756 01688 57801 86796,80756 01611 12327 65451
INSURANCE_CARD_NUMBER,80756 01688 63515 56753,80756 01602 52518 70950
INSURANCE_CARD_NUMBER,80756 01688 80613 81090,80756 01599 03058 76600
INSURANCE_CARD_NUMBER,80756 01688 81250 52697,80756 01611 53199 18818
INSURANCE_CARD_NUMBER,80756 01688 98672 63634,80756 01599 43538 07749
LAST_NAME,AMMANN,SUDAN
LAST_NAME,Ammann,Sudan
LAST_NAME,Arnold,Schär
LAST_NAME,BACHMANN,KUNZ
LAST_NAME,BAUMANN,FEUZ
LAST_NAME,BERTHOUD,NIEDERHAUSER
LAST_NAME,BERTSCHY,AEBY
LAST_NAME,BISSIG,LEHMANN
LAST_NAME,BLANC,RAMSEIER
LAST_NAME,BOSSHARD,HÜRLIMANN
LAST_NAME,BURRI,MONNEY
LAST_NAME,Bachmann,Kunz
LAST_NAME,Baumann,Feuz
LAST_NAME,Bernard,Sturny
LAST_NAME,Berthoud,Niederhauser
LAST_NAME,Bertschy,Aeby
LAST_NAME,Bianchi,Uhlmann
LAST_NAME,Bissig,Lehmann
LAST_NAME,Blanc,Ramseier
LAST_NAME,Bosshard,Hürlimann
LAST_NAME,Bovet,Amrein
LAST_NAME,Brunner,Fontana
LAST_NAME,Burri,Monney
LAST_NAME,CARREL,ROULIN
LAST_NAME,CHEVALLEY,EGGER
LAST_NAME,CHRISTEN,BALMER
LAST_NAME,CRAUSAZ,RIME
LAST_NAME,Carrel,Roulin
LAST_NAME,Chevalley,Egger
LAST_NAME,Christen,Balmer
LAST_NAME,Clément,Nussbaumer
LAST_NAME,Conti,Berset
LAST_NAME,Crausaz,Rime
LAST_NAME,DA SILVA,FASEL
LAST_NAME,DESSIBOURG,NYFFELER
LAST_NAME,DIETRICH,ROPRAZ
LAST_NAME,Da Silva,Fasel
LAST_NAME,Dessibourg,Nyffeler
LAST_NAME,Dietrich,Ropraz
LAST_NAME,Ducret,Suter
LAST_NAME,Dupont,Bongard
LAST_NAME,FANKHAUSER,HAYOZ
LAST_NAME,FERRARI,PORTMANN
LAST_NAME,FISCHER,SCHMUTZ
LAST_NAME,FLÜCKIGER,CHASSOT
LAST_NAME,Fankhauser,Hayoz
LAST_NAME,Ferrari,Portmann
LAST_NAME,Fischer,Schmutz
LAST_NAME,Flückiger,Chassot
LAST_NAME,Frei,Tanner
LAST_NAME,GERBER,GACHET
LAST_NAME,GIRARD,LONGCHAMP
LAST_NAME,Gafner,Python
LAST_NAME,Gauthier,Repond
LAST_NAME,Genoud,Rotzetter
LAST_NAME,Gerber,Gachet
LAST_NAME,Gilliéron,Gendre
LAST_NAME,Girard,Longchamp
LAST_NAME,HESS,VILLOZ
LAST_NAME,HUBER,WIDER
LAST_NAME,Hess,Villoz
LAST_NAME,Hofmann,Vuadens
LAST_NAME,Huber,Wider
LAST_NAME,HÄFLIGER,KOLLY
LAST_NAME,Häfliger,Kolly
LAST_NAME,ITEN,VOGEL
LAST_NAME,Iten,Vogel
LAST_NAME,Jäggi,Castella
LAST_NAME,KAISER,JEANNERET
LAST_NAME,KAUFMANN,AEBISCHER
LAST_NAME,KESSLER,JENNI
LAST_NAME,KOHLER,TINGUELY
LAST_NAME,Kaiser,Jeanneret
LAST_NAME,Kaufmann,Aebischer
LAST_NAME,Kessler,Jenni
LAST_NAME,Kohler,Tinguely
LAST_NAME,LAMBERT,COTTING
LAST_NAME,LOCHER,LÜTHI
LAST_NAME,Lambert,Cotting
LAST_NAME,Leuenberger,Bise
LAST_NAME,Locher,Lüthi
LAST_NAME,MAILLARD,LAUPER
LAST_NAME,MARTIN,PFISTER
LAST_NAME,MEIER,WENGER
LAST_NAME,MERCIER,GREMAUD
LAST_NAME,MEYER,DEILLON
LAST_NAME,MICHEL,BAPST
LAST_NAME,Maillard,Lauper
LAST_NAME,Martin,Pfister
LAST_NAME,Meier,Wenger
LAST_NAME,Mercier,Gremaud
LAST_NAME,Meyer,Deillon
LAST_NAME,Michel,Bapst
LAST_NAME,Morel,Jaquier
LAST_NAME,Moser,Ruffieux
LAST_NAME,MÜLLER,SALLIN
LAST_NAME,MÜLLER-REY,CATTIN
LAST_NAME,Müller,Sallin
LAST_NAME,Müller-Rey,Cattin
LAST_NAME,NICOLET,SCHOUWEY
LAST_NAME,Nicolet,Schouwey
LAST_NAME,OPPLIGER,FRAGNIÈRE
LAST_NAME,Oppliger,Fragnière
LAST_NAME,PELLET,ZBINDEN
LAST_NAME,PETER,KOLLER
LAST_NAME,Pasquier,Gobet
LAST_NAME,Pellet,Zbinden
LAST_NAME,Perrin,Zürcher
LAST_NAME,Peter,Koller
LAST_NAME,Pittet,Dorthe
LAST_NAME,Progin,Maradan
LAST_NAME,RAUSIS,ERNI
LAST_NAME,REY-BELLET,GASSER
LAST_NAME,RIEDO,ULRICH
LAST_NAME,ROCHAT,WYSS
LAST_NAME,RYSER,GRANGIER
LAST_NAME,Rausis,Erni
LAST_NAME,Rey-Bellet,Gasser
LAST_NAME,Riedo,Ulrich
LAST_NAME,Rochat,Wyss
LAST_NAME,Rossi,Bühler
LAST_NAME,Roux,Dubois
LAST_NAME,Ryser,Grangier
LAST_NAME,SCHALLER,POCHON
LAST_NAME,SCHNEIDER,CUCHE
LAST_NAME,SIEBER,GRANDJEAN
LAST_NAME,STEINER,BRÜGGER
LAST_NAME,STUCKI,MAURON
LAST_NAME,Schaller,Pochon
LAST_NAME,Schneider,Cuche
LAST_NAME,Sieber,Grandjean
LAST_NAME,Steiner,Brügger
LAST_NAME,Stucki,Mauron
LAST_NAME,THÜRLER,YERLY
LAST_NAME,Thürler,Yerly
LAST_NAME,Troillet,Overney
LAST_NAME,VONLANTHEN,DÄHLER
LAST_NAME,VUILLEUMIER,OBERHOLZER
LAST_NAME,Vonlanthen,Dähler
LAST_NAME,Vuilleumier,Oberholzer
LAST_NAME,WAEBER,RAEMY
LAST_NAME,WEBER,KELLER
LAST_NAME,WICHT,VIAL
LAST_NAME,WIDMER,ANDREY
LAST_NAME,WYLER,METTRAUX
LAST_NAME,Waeber,Raemy
LAST_NAME,Weber,Keller
LAST_NAME,Wicht,Vial
LAST_NAME,Widmer,Andrey
LAST_NAME,Wyler,Mettraux
LAST_NAME,ZAUGG,THALMANN
LAST_NAME,ZIMMERMANN,KÄSER
LAST_NAME,Zaugg,Thalmann
LAST_NAME,Zehnder,Dénervaud
LAST_NAME,Zimmermann,Käser
LAST_NAME,Zwahlen,Chappuis
PATIENT_ID,PAT-2026-07021,PAT-2026-64297
PATIENT_ID,PAT-2026-07462,PAT-2026-69981
PATIENT_ID,PAT-2026-08112,PAT-2026-06431
PATIENT_ID,PAT-2026-09300,PAT-2026-59464
PATIENT_ID,PAT-2026-10464,PAT-2026-16354
PATIENT_ID,PAT-2026-14206,PAT-2026-40832
PATIENT_ID,PAT-2026-16014,PAT-2026-77833
PATIENT_ID,PAT-2026-16774,PAT-2026-62747
PATIENT_ID,PAT-2026-16879,PAT-2026-65662
PATIENT_ID,PAT-2026-17121,PAT-2026-78014
PATIENT_ID,PAT-2026-18069,PAT-2026-50417
PATIENT_ID,PAT-2026-18467,PAT-2026-56445
PATIENT_ID,PAT-2026-19282,PAT-2026-86497
PATIENT_ID,PAT-2026-20879,PAT-2026-56009
PATIENT_ID,PAT-2026-23376,PAT-2026-80759
PATIENT_ID,PAT-2026-24264,PAT-2026-16742
PATIENT_ID,PAT-2026-26236,PAT-2026-25238
PATIENT_ID,PAT-2026-26645,PAT-2026-73286
PATIENT_ID,PAT-2026-26898,PAT-2026-60050
PATIENT_ID,PAT-2026-27629,PAT-2026-86208
PATIENT_ID,PAT-2026-29003,PAT-2026-11370
PATIENT_ID,PAT-2026-30099,PAT-2026-90087
PATIENT_ID,PAT-2026-30700,PAT-2026-53170
PATIENT_ID,PAT-2026-31145,PAT-2026-79065
PATIENT_ID,PAT-2026-33431,PAT-2026-81594
PATIENT_ID,PAT-2026-33496,PAT-2026-01069
PATIENT_ID,PAT-2026-33781,PAT-2026-32346
PATIENT_ID,PAT-2026-34579,PAT-2026-64014
PATIENT_ID,PAT-2026-34623,PAT-2026-28277
PATIENT_ID,PAT-2026-35859,PAT-2026-13801
PATIENT_ID,PAT-2026-38903,PAT-2026-04364
PATIENT_ID,PAT-2026-39035,PAT-2026-44082
PATIENT_ID,PAT-2026-40914,PAT-2026-81816
PATIENT_ID,PAT-2026-40949,PAT-2026-29604
PATIENT_ID,PAT-2026-43525,PAT-2026-91157
PATIENT_ID,PAT-2026-45760,PAT-2026-53561
PATIENT_ID,PAT-2026-48615,PAT-2026-88838
PATIENT_ID,PAT-2026-54989,PAT-2026-29983
PATIENT_ID,PAT-2026-55539,PAT-2026-20209
PATIENT_ID,PAT-2026-56508,PAT-2026-94703
PATIENT_ID,PAT-2026-57720,PAT-2026-63270
PATIENT_ID,PAT-2026-58301,PAT-2026-30647
PATIENT_ID,PAT-2026-61145,PAT-2026-55211
PATIENT_ID,PAT-2026-61339,PAT-2026-56059
PATIENT_ID,PAT-2026-61415,PAT-2026-64049
PATIENT_ID,PAT-2026-61830,PAT-2026-00439
PATIENT_ID,PAT-2026-64483,PAT-2026-21771
PATIENT_ID,PAT-2026-66091,PAT-2026-64661
PATIENT_ID,PAT-2026-66976,PAT-2026-16061
PATIENT_ID,PAT-2026-68765,PAT-2026-71780
PATIENT_ID,PAT-2026-69040,PAT-2026-85596
PATIENT_ID,PAT-2026-72100,PAT-2026-81118
PATIENT_ID,PAT-2026-73931,PAT-2026-02939
PATIENT_ID,PAT-2026-76128,PAT-2026-44005
PATIENT_ID,PAT-2026-82598,PAT-2026-70038
PATIENT_ID,PAT-2026-84612,PAT-2026-65239
PATIENT_ID,PAT-2026-87431,PAT-2026-85095
PATIENT_ID,PAT-2026-88557,PAT-2026-93630
PATIENT_ID,PAT-2026-88777,PAT-2026-78025
PATIENT_ID,PAT-2026-89247,PAT-2026-43123
PATIENT_ID,PAT-2026-90275,PAT-2026-83832
PATIENT_ID,PAT-2026-93417,PAT-2026-28535
PATIENT_ID,PAT-2026-93677,PAT-2026-41009
PATIENT_ID,PAT-2026-95385,PAT-2026-58763
PHONE,+33 6 39 98 00 03,+41 79 000 57 14
PHONE,+33 6 39 98 00 39,+41 21 000 94 16
PHONE,+33 6 39 98 00 78,+41 79 000 53 21
PHONE,+33 6 39 98 03 26,+41 27 000 79 33
PHONE,+33 6 39 98 04 66,+41 79 000 25 57
PHONE,+33 6 39 98 24 67,+41 31 000 17 08
PHONE,+33 6 39 98 31 81,+41 71 000 09 29
PHONE,+33 6 39 98 32 20,+41 79 000 53 32
PHONE,+33 6 39 98 49 93,+41 44 000 58 37
PHONE,+33 6 39 98 54 56,+41 79 000 36 38
PHONE,+33 6 39 98 57 44,+41 79 000 83 98
PHONE,+33 6 39 98 58 09,+41 79 000 49 27
PHONE,+33 6 39 98 63 39,+41 79 000 75 48
PHONE,+33 6 39 98 75 76,+41 79 000 60 85
PHONE,+33 6 39 98 81 34,+41 44 000 40 08
PHONE,+33 6 39 98 97 99,+41 26 000 96 33
PHONE,+41 21 000 17 19,+41 79 000 97 65
PHONE,+41 21 000 22 79,+41 24 000 33 67
PHONE,+41 21 000 35 16,+41 79 000 42 08
PHONE,+41 21 000 64 47,+41 79 000 36 09
PHONE,+41 22 000 36 13,+41 26 000 47 18
PHONE,+41 22 000 46 09,+41 79 000 32 90
PHONE,+41 22 000 47 24,+41 79 000 00 66
PHONE,+41 22 000 93 12,+41 79 000 94 88
PHONE,+41 24 000 34 80,+41 79 000 38 20
PHONE,+41 24 000 35 34,+41 71 000 42 69
PHONE,+41 24 000 43 49,+41 79 000 64 16
PHONE,+41 24 000 87 64,+41 27 000 68 10
PHONE,+41 27 000 08 99,+41 24 000 70 79
PHONE,+41 27 000 37 75,+41 79 000 94 49
PHONE,+41 31 000 07 00,+41 44 000 98 54
PHONE,+41 31 000 33 94,+41 79 000 64 83
PHONE,+41 31 000 92 04,+41 79 000 99 05
PHONE,+41 31 000 94 57,+41 26 000 13 04
PHONE,+41 32 000 28 48,+41 32 000 99 81
PHONE,+41 32 000 56 73,+41 31 000 97 28
PHONE,+41 44 000 72 45,+41 79 000 41 85
PHONE,+41 44 000 84 40,+41 24 000 64 51
PHONE,+41 44 000 96 15,+41 79 000 81 36
PHONE,+41 61 000 26 98,+41 21 000 67 21
PHONE,+41 61 000 75 17,+41 79 000 65 77
PHONE,+41 71 000 86 66,+41 79 000 99 74
PHONE,+41 79 000 00 81,+41 79 000 54 02
PHONE,+41 79 000 01 38,+41 79 000 10 69
PHONE,+41 79 000 02 41,+41 79 000 02 88
PHONE,+41 79 000 04 75,+41 61 000 42 93
PHONE,+41 79 000 05 27,+41 79 000 04 90
PHONE,+41 79 000 06 46,+41 79 000 25 28
PHONE,+41 79 000 21 98,+41 79 000 37 96
PHONE,+41 79 000 27 14,+41 79 000 15 83
PHONE,+41 79 000 28 97,+41 21 000 28 22
PHONE,+41 79 000 29 34,+41 79 000 38 94
PHONE,+41 79 000 30 94,+41 79 000 99 12
PHONE,+41 79 000 31 94,+41 79 000 60 28
PHONE,+41 79 000 32 77,+41 26 000 83 67
PHONE,+41 79 000 33 72,+41 79 000 04 00
PHONE,+41 79 000 34 96,+41 79 000 55 48
PHONE,+41 79 000 35 50,+41 31 000 38 46
PHONE,+41 79 000 44 09,+41 79 000 08 78
PHONE,+41 79 000 44 26,+41 44 000 14 84
PHONE,+41 79 000 46 10,+41 79 000 88 04
PHONE,+41 79 000 46 80,+41 79 000 61 98
PHONE,+41 79 000 49 68,+41 24 000 93 40
PHONE,+41 79 000 50 97,+41 79 000 73 83
PHONE,+41 79 000 52 82,+41 79 000 25 47
PHONE,+41 79 000 55 65,+41 26 000 11 64
PHONE,+41 79 000 56 02,+41 79 000 20 15
PHONE,+41 79 000 59 81,+41 79 000 23 73
PHONE,+41 79 000 64 08,+41 79 000 56 20
PHONE,+41 79 000 65 00,+41 79 000 58 92
PHONE,+41 79 000 65 45,+41 24 000 57 71
PHONE,+41 79 000 66 05,+41 79 000 65 88
PHONE,+41 79 000 67 34,+41 32 000 36 52
PHONE,+41 79 000 68 24,+41 22 000 09 20
PHONE,+41 79 000 71 14,+41 71 000 85 56
PHONE,+41 79 000 71 33,+41 22 000 37 21
PHONE,+41 79 000 72 13,+41 61 000 63 67
PHONE,+41 79 000 73 00,+41 44 000 49 11
PHONE,+41 79 000 84 64,+41 26 000 01 01
PHONE,+41 79 000 85 88,+41 44 000 91 88
PHONE,+41 79 000 86 67,+41 44 000 92 23
PHONE,+41 79 000 86 95,+41 79 000 33 00
PHONE,+41 79 000 87 37,+41 79 000 61 66
PHONE,+41 79 000 87 85,+41 79 000 45 68
PHONE,+41 79 000 88 67,+41 79 000 86 88
PHONE,+41 79 000 93 13,+41 79 000 85 73
PHONE,+41 79 000 93 45,+41 79 000 54 46
PHONE,+41 79 000 96 10,+41 26 000 53 97
PHONE,+41 79 000 96 98,+41 79 000 31 59
PHONE,+41 79 000 97 73,+41 79 000 16 36
PHONE,+41 79 000 98 99,+41 79 000 52 97
PHONE,+41 79 000 99 43,+41 79 000 98 36
PHONE,021 000 22 79,024 000 33 67
PHONE,021 000 64 47,079 000 36 09
PHONE,022 000 36 13,026 000 47 18
PHONE,022 000 46 09,079 000 32 90
PHONE,022 000 47 24,079 000 00 66
PHONE,024 000 34 80,079 000 38 20
PHONE,024 000 35 34,071 000 42 69
PHONE,024 000 87 64,027 000 68 10
PHONE,027 000 08 99,024 000 70 79
PHONE,031 000 07 00,044 000 98 54
PHONE,031 000 33 94,079 000 64 83
PHONE,031 000 92 04,079 000 99 05
PHONE,031 000 94 57,026 000 13 04
PHONE,032 000 28 48,032 000 99 81
PHONE,032 000 56 73,031 000 97 28
PHONE,044 000 72 45,079 000 41 85
PHONE,044 000 84 40,024 000 64 51
PHONE,061 000 26 98,021 000 67 21
PHONE,079 000 01 38,079 000 10 69
PHONE,079 000 02 41,079 000 02 88
PHONE,079 000 04 75,061 000 42 93
PHONE,079 000 05 27,079 000 04 90
PHONE,079 000 06 46,079 000 25 28
PHONE,079 000 29 34,079 000 38 94
PHONE,079 000 30 94,079 000 99 12
PHONE,079 000 31 94,079 000 60 28
PHONE,079 000 32 77,026 000 83 67
PHONE,079 000 33 72,079 000 04 00
PHONE,079 000 34 96,079 000 55 48
PHONE,079 000 35 50,031 000 38 46
PHONE,079 000 44 09,079 000 08 78
PHONE,079 000 49 68,024 000 93 40
PHONE,079 000 52 82,079 000 25 47
PHONE,079 000 56 02,079 000 20 15
PHONE,079 000 59 81,079 000 23 73
PHONE,079 000 64 08,079 000 56 20
PHONE,079 000 65 45,024 000 57 71
PHONE,079 000 66 05,079 000 65 88
PHONE,079 000 68 24,022 000 09 20
PHONE,079 000 71 14,071 000 85 56
PHONE,079 000 71 33,022 000 37 21
PHONE,079 000 72 13,061 000 63 67
PHONE,079 000 73 00,044 000 49 11
PHONE,079 000 84 64,026 000 01 01
PHONE,079 000 87 85,079 000 45 68
PHONE,079 000 88 67,079 000 86 88
PHONE,079 000 93 13,079 000 85 73
PHONE,079 000 93 45,079 000 54 46
PHONE,079 000 96 10,026 000 53 97
PHONE,079 000 97 73,079 000 16 36
PHONE,079 000 98 99,079 000 52 97
PHONE,079 000 99 43,079 000 98 36
POSTAL_CITY,1003 Lausanne,2000 Neuchâtel
POSTAL_CITY,1007 Lausanne,2502 Biel/Bienne
POSTAL_CITY,1201 Genève,1400 Yverdon-les-Bains
POSTAL_CITY,1205 Genève,1700 Fribourg
POSTAL_CITY,1260 Nyon,1950 Sion
POSTAL_CITY,1400 Yverdon-les-Bains,4051 Basel
POSTAL_CITY,1700 Fribourg,4600 Olten
POSTAL_CITY,1800 Vevey,3011 Bern
POSTAL_CITY,1820 Montreux,3600 Thun
POSTAL_CITY,1870 Monthey,1820 Montreux
POSTAL_CITY,2000 Neuchâtel,6003 Luzern
POSTAL_CITY,2502 Biel/Bienne,6300 Zug
POSTAL_CITY,3011 Bern,8004 Zürich
POSTAL_CITY,3600 Thun,8400 Winterthur
POSTAL_CITY,4051 Basel,9000 St. Gallen
POSTAL_CITY,4600 Olten,7000 Chur
POSTAL_CITY,6003 Luzern,6900 Lugano
POSTAL_CITY,6300 Zug,6500 Bellinzona
POSTAL_CITY,6500 Bellinzona,1800 Vevey
POSTAL_CITY,6900 Lugano,1260 Nyon
POSTAL_CITY,8001 Zürich,1870 Monthey
POSTAL_CITY,8004 Zürich,1201 Genève
POSTAL_CITY,8400 Winterthur,1205 Genève
POSTAL_CITY,9000 St. Gallen,1003 Lausanne
STREET_ADDRESS,Allée des Cerisiers-Roses 7,Allée des Tilleuls-d'Or 50
STREET_ADDRESS,Alte Landstrasse 35,Neue Dorfstrasse 6
STREET_ADDRESS,Alte Landstrasse 68,Neue Dorfstrasse 117
STREET_ADDRESS,Alte Landstrasse 74,Neue Dorfstrasse 39
STREET_ADDRESS,Alte Landstrasse 83,Neue Dorfstrasse 102
STREET_ADDRESS,Am Mühlebach 35,Im Sonnenfeld 6
STREET_ADDRESS,Am Mühlebach 49,Im Sonnenfeld 104
STREET_ADDRESS,Am Mühlebach 70,Im Sonnenfeld 11
STREET_ADDRESS,Avenue de la Colline-Verte 114,Avenue des Platanes-Gris 79
STREET_ADDRESS,Avenue de la Colline-Verte 25,Avenue des Platanes-Gris 56
STREET_ADDRESS,Avenue de la Colline-Verte 95,Avenue des Platanes-Gris 66
STREET_ADDRESS,Bergstrasse 40,Hügelweg 41
STREET_ADDRESS,Bergstrasse 56,Hügelweg 33
STREET_ADDRESS,Bergstrasse 70,Hügelweg 11
STREET_ADDRESS,Birkenhofstrasse 116,Eichenhofweg 93
STREET_ADDRESS,Birkenhofstrasse 117,Eichenhofweg 100
STREET_ADDRESS,Birkenhofstrasse 24,Eichenhofweg 49
STREET_ADDRESS,Birkenhofstrasse 55,Eichenhofweg 26
STREET_ADDRESS,Chemin des Vignes-Hautes 22,Chemin des Noyers-Verts 35
STREET_ADDRESS,Chemin des Vignes-Hautes 33,Chemin des Noyers-Verts 112
STREET_ADDRESS,Chemin des Vignes-Hautes 38,Chemin des Noyers-Verts 27
STREET_ADDRESS,Chemin des Vignes-Hautes 80,Chemin des Noyers-Verts 81
STREET_ADDRESS,Chemin du Lac-Bleu 14,Rue du Grand-Pré 99
STREET_ADDRESS,Chemin du Lac-Bleu 18,Rue du Grand-Pré 7
STREET_ADDRESS,Chemin du Lac-Bleu 65,Rue du Grand-Pré 96
STREET_ADDRESS,Chemin du Lac-Bleu 88,Rue du Grand-Pré 17
STREET_ADDRESS,Chemin du Lac-Bleu 98,Rue du Grand-Pré 87
STREET_ADDRESS,Feldblumenstrasse 117,Rosengartenstrasse 100
STREET_ADDRESS,Feldblumenstrasse 15,Rosengartenstrasse 106
STREET_ADDRESS,Feldblumenstrasse 24,Rosengartenstrasse 49
STREET_ADDRESS,Impasse des Lilas-Blancs 18,Impasse du Ruisseau-Clair 7
STREET_ADDRESS,Impasse des Lilas-Blancs 49,Impasse du Ruisseau-Clair 104
STREET_ADDRESS,Impasse des Lilas-Blancs 62,Impasse du Ruisseau-Clair 75
STREET_ADDRESS,Impasse des Lilas-Blancs 73,Impasse du Ruisseau-Clair 32
STREET_ADDRESS,Impasse des Lilas-Blancs 77,Impasse du Ruisseau-Clair 60
STREET_ADDRESS,Lindenhofstrasse 100,Ahornhofstrasse 101
STREET_ADDRESS,Lindenhofstrasse 103,Ahornhofstrasse 2
STREET_ADDRESS,Lindenhofstrasse 111,Ahornhofstrasse 58
STREET_ADDRESS,Lindenhofstrasse 9,Ahornhofstrasse 64
STREET_ADDRESS,Rebenweg 47,Kirschbaumweg 90
STREET_ADDRESS,Rebenweg 73,Kirschbaumweg 32
STREET_ADDRESS,Route du Vieux-Moulin 106,Route de la Sauge 23
STREET_ADDRESS,Route du Vieux-Moulin 118,Route de la Sauge 107
STREET_ADDRESS,Route du Vieux-Moulin 7,Route de la Sauge 50
STREET_ADDRESS,Rue de la Fontaine-Ronde 113,Rue du Four-Banal 72
STREET_ADDRESS,Rue de la Fontaine-Ronde 37,Rue du Four-Banal 20
STREET_ADDRESS,Rue de la Fontaine-Ronde 86,Rue du Four-Banal 3
STREET_ADDRESS,Rue de la Fontaine-Ronde 96,Rue du Four-Banal 73
STREET_ADDRESS,Rue des Trois-Sapins 110,Chemin de la Combe-Fleurie 51
STREET_ADDRESS,Rue des Trois-Sapins 6,Chemin de la Combe-Fleurie 43
STREET_ADDRESS,Rue des Trois-Sapins 95,Chemin de la Combe-Fleurie 66
STREET_ADDRESS,Seeblickweg 106,Talblickstrasse 23
STREET_ADDRESS,Seeblickweg 83,Talblickstrasse 102
STREET_ADDRESS,Sentier de la Roselière 102,Sentier des Ormes 115
STREET_ADDRESS,Sentier de la Roselière 65,Sentier des Ormes 96
STREET_ADDRESS,Sonnenhaldenweg 118,Wiesenbachstrasse 107
STREET_ADDRESS,Sonnenhaldenweg 13,Wiesenbachstrasse 92
STREET_ADDRESS,Sonnenhaldenweg 48,Wiesenbachstrasse 97
STREET_ADDRESS,Sonnenhaldenweg 65,Wiesenbachstrasse 96
STREET_ADDRESS,Tannenrainstrasse 41,Buchenrainweg 48
STREET_ADDRESS,Tannenrainstrasse 45,Buchenrainweg 76
STREET_ADDRESS,Tannenrainstrasse 88,Buchenrainweg 17
STREET_ADDRESS,Via Monte Chiaro 7,Via Colle Sereno 50
STREET_ADDRESS,Via dei Castagni Fioriti 58,Via delle Querce Alte 47
